0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	9	1
0	10	1
1	2	1
1	3	1
1	4	1
1	5	1
1	6	1
1	7	1
1	8	1
1	9	1
1	10	1
1	11	1
2	3	1
2	4	1
2	5	1
2	6	1
2	7	1
2	8	1
2	9	1
2	10	1
2	11	1
2	12	1
3	4	1
3	5	1
3	6	1
3	7	1
3	8	1
3	9	1
3	10	1
3	11	1
3	12	1
3	13	1
4	5	1
4	6	1
4	7	1
4	8	1
4	9	1
4	10	1
4	11	1
4	12	1
4	13	1
4	14	1
5	6	1
5	7	1
5	8	1
5	9	1
5	10	1
5	11	1
5	12	1
5	13	1
5	14	1
5	15	1
6	7	1
6	8	1
6	9	1
6	10	1
6	11	1
6	12	1
6	13	1
6	14	1
6	15	1
6	16	1
7	8	1
7	9	1
7	10	1
7	11	1
7	12	1
7	13	1
7	14	1
7	15	1
7	16	1
7	17	1
8	9	1
8	10	1
8	11	1
8	12	1
8	13	1
8	14	1
8	15	1
8	16	1
8	17	1
8	18	1
9	10	1
9	11	1
9	12	1
9	13	1
9	14	1
9	15	1
9	16	1
9	17	1
9	18	1
9	19	1
10	11	1
10	12	1
10	13	1
10	14	1
10	15	1
10	16	1
10	17	1
10	18	1
10	19	1
10	20	1
11	12	1
11	13	1
11	14	1
11	15	1
11	16	1
11	17	1
11	18	1
11	19	1
11	20	1
11	21	1
12	13	1
12	14	1
12	15	1
12	16	1
12	17	1
12	18	1
12	19	1
12	20	1
12	21	1
12	22	1
13	14	1
13	15	1
13	16	1
13	17	1
13	18	1
13	19	1
13	20	1
13	21	1
13	22	1
13	23	1
14	15	1
14	16	1
14	17	1
14	18	1
14	19	1
14	20	1
14	21	1
14	22	1
14	23	1
14	24	1
15	16	1
15	17	1
15	18	1
15	19	1
15	20	1
15	21	1
15	22	1
15	23	1
15	24	1
15	25	1
16	17	1
16	18	1
16	19	1
16	20	1
16	21	1
16	22	1
16	23	1
16	24	1
16	25	1
16	26	1
17	18	1
17	19	1
17	20	1
17	21	1
17	22	1
17	23	1
17	24	1
17	25	1
17	26	1
17	27	1
18	19	1
18	20	1
18	21	1
18	22	1
18	23	1
18	24	1
18	25	1
18	26	1
18	27	1
18	28	1
